"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\classnames.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\clsx.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\combined-stream.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\cookie.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\crypto-js.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 68, 61, 214
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\date-fns.js", "JavaScript", 518, 0, 0, 0, 0, 0, 0, 0, 0, 392, 385, 1295
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\debug.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 54
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\delayed-stream.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\dot-case.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ecdsa-sig-formatter.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\follow-redirects.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\get-nonce.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\has-flag.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\i18next.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\isomorphic-ws.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jsonwebtoken.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 80, 73, 254
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jwa.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jws.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 38, 31, 114
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.includes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isboolean.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isinteger.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isnumber.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isplainobject.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isstring.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.once.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lower-case.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lucide-react.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\map-obj.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\mime-db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\mime-types.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ms.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\next.js", "JavaScript", 1720, 0, 0, 0, 0, 0, 0, 0, 0, 1059, 1047, 3826
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\no-case.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\proxy-from-env.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-chartjs-2.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-datepicker.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-onclickoutside.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-remove-scroll-bar.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-remove-scroll.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 85
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-style-singleton.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\rxjs.js", "JavaScript", 302, 0, 0, 0, 0, 0, 0, 0, 0, 230, 223, 755
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\safe-buffer.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\sdp-transform.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 54
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\sdp.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\semver.js", "JavaScript", 367, 0, 0, 0, 0, 0, 0, 0, 0, 278, 271, 916
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\snake-case.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\snakecase-keys.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\supports-color.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\swr.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 45
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tabbable.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tailwind-merge.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tslib.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 45
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ua-parser-js.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-callback-ref.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 45
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-sidecar.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-sync-external-store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\uuid.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 75
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\webrtc-adapter.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 41, 34, 125
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ws.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 50, 43, 155
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\yallist.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\webpack-runtime.js", "JavaScript", 185, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 225
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app-pages-internals.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 41, 34, 138
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(auth)\sign-in\[[...sigin-in]]\page.js", "JavaScript", 419, 0, 0, 0, 0, 0, 0, 0, 0, 251, 252, 922
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(auth)\sign-up\[[...sign-up]]\page.js", "JavaScript", 419, 0, 0, 0, 0, 0, 0, 0, 0, 251, 252, 922
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\layout.js", "JavaScript", 858, 0, 0, 0, 0, 0, 0, 0, 0, 515, 516, 1889
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\page.js", "JavaScript", 2299, 0, 0, 0, 0, 0, 0, 0, 0, 1391, 1385, 5075
