"filename", "language", "JSON with Comments", "Properties", "JavaScript", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\previous\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\recordings\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\upcoming\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\layout.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\layout.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\dev\Meeting-App\HaMeetz\actions\stream.actions.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(auth)\sign-in\[[...sigin-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(auth)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\personal-room\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 14, 87
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\previous\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\recordings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\upcoming\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\meeting\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 11, 50
"c:\Users\User\dev\Meeting-App\HaMeetz\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 87, 4, 22, 113
"c:\Users\User\dev\Meeting-App\HaMeetz\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 49
"c:\Users\User\dev\Meeting-App\HaMeetz\components.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\User\dev\Meeting-App\HaMeetz\components\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
